trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 1 1 3.05768e+06 3.36348e+06 4.73011e+06 1.0319e+07 0
000 002 1 1 1.7622e+07 1.78865e+07 1.92531e+07 2.22661e+08 1
000 003 1 0 2.29791e+08 2.30058e+08 2.31425e+08 2.32456e+08 1
001 004 1 0 2.37997e+08 2.38257e+08 2.39704e+08 2.43647e+08 0
001 005 1 1 2.52089e+08 2.52344e+08 2.53618e+08 2.55388e+08 0
000 006 1 1 2.63149e+08 2.63401e+08 2.64674e+08 2.65451e+08 1
000 007 1 1 2.75445e+08 2.75702e+08 2.76976e+08 2.82897e+08 1
000 008 1 1 2.91066e+08 2.91329e+08 2.92603e+08 2.93509e+08 1
000 009 2 0 3.09932e+08 3.10188e+08 3.11111e+08 3.12058e+08 0
000 010 2 1 3.28964e+08 3.29219e+08 3.30465e+08 3.30833e+08 0
001 011 2 0 3.41158e+08 3.41432e+08 3.4258e+08 3.42901e+08 0
000 012 2 1 3.51247e+08 3.51517e+08 3.52666e+08 3.56324e+08 1
001 013 2 0 3.61941e+08 3.62201e+08 3.63327e+08 3.70776e+08 0
000 014 2 0 3.77867e+08 3.7814e+08 3.79266e+08 3.80003e+08 1
000 015 2 1 4.15261e+08 4.15518e+08 4.16644e+08 4.20439e+08 1
001 016 1 1 4.23213e+08 4.2348e+08 4.24683e+08 4.26287e+08 0
000 017 1 0 4.36466e+08 4.36734e+08 4.37938e+08 4.43427e+08 1
001 018 2 0 4.50233e+08 4.50496e+08 4.5182e+08 4.53611e+08 0
000 019 2 0 4.62608e+08 4.62881e+08 4.64205e+08 4.64847e+08 1
000 020 2 0 4.72408e+08 4.72669e+08 4.73993e+08 4.77936e+08 1
000 021 2 0 4.91468e+08 4.91735e+08 4.93059e+08 4.93772e+08 1
000 022 1 0 5.0758e+08 5.07841e+08 5.08365e+08 5.08647e+08 0
001 023 2 1 5.15157e+08 5.15419e+08 5.16336e+08 5.16584e+08 0
001 024 2 1 5.20693e+08 5.20964e+08 5.22108e+08 5.51693e+08 0
001 025 1 1 5.54045e+08 5.54322e+08 5.55383e+08 5.80346e+08 0
000 026 1 1 5.91732e+08 5.9199e+08 5.93051e+08 5.9493e+08 1
000 027 1 1 6.02072e+08 6.02326e+08 6.03388e+08 6.04038e+08 1
000 028 1 1 6.14065e+08 6.14335e+08 6.15396e+08 6.19831e+08 1
000 029 1 0 6.33069e+08 6.33335e+08 6.34042e+08 6.34516e+08 0
001 030 2 0 6.43475e+08 6.43743e+08 6.44756e+08 6.4491e+08 0
000 031 2 0 6.53134e+08 6.53396e+08 6.54409e+08 6.57788e+08 1
000 032 2 0 6.67069e+08 6.67344e+08 6.68357e+08 6.71278e+08 1
000 033 2 0 6.78337e+08 6.78602e+08 6.79615e+08 6.80115e+08 1
000 034 2 0 6.88686e+08 6.8896e+08 6.89463e+08 6.91309e+08 0
000 035 1 0 7.01268e+08 7.01541e+08 7.02945e+08 7.0493e+08 0
001 036 1 0 7.07904e+08 7.08175e+08 7.09026e+08 7.13551e+08 0
001 037 1 1 7.16343e+08 7.16612e+08 7.17185e+08 7.28514e+08 0
000 038 1 0 7.35706e+08 7.35972e+08 7.36545e+08 7.37263e+08 1
001 039 1 0 7.41182e+08 7.41445e+08 7.42028e+08 7.60981e+08 0
001 040 1 0 7.6362e+08 7.63885e+08 7.64596e+08 7.8212e+08 0
001 041 1 0 7.84905e+08 7.85176e+08 7.85713e+08 8.11111e+08 0
001 042 1 0 8.13594e+08 8.13866e+08 8.14433e+08 8.31269e+08 0
001 043 2 0 8.33982e+08 8.3425e+08 8.35431e+08 8.44204e+08 0
000 044 2 0 8.52845e+08 8.5311e+08 8.54292e+08 8.56239e+08 1
000 045 2 0 8.66364e+08 8.66625e+08 8.67806e+08 8.68569e+08 1
000 046 2 0 8.75897e+08 8.76148e+08 8.7733e+08 8.78851e+08 1
000 047 1 0 8.88515e+08 8.88781e+08 8.89645e+08 8.89937e+08 0
001 048 2 0 8.95346e+08 8.9561e+08 8.96866e+08 8.98211e+08 0
000 049 2 0 9.05454e+08 9.05722e+08 9.06978e+08 9.09117e+08 1
000 050 2 0 9.17004e+08 9.17263e+08 9.18519e+08 9.1878e+08 1
000 051 2 0 9.30942e+08 9.31214e+08 9.3247e+08 9.32712e+08 1
000 052 2 0 9.43721e+08 9.43993e+08 9.44707e+08 9.45536e+08 0
000 053 2 1 9.56783e+08 9.57056e+08 9.57631e+08 9.59363e+08 0
001 054 2 1 9.65385e+08 9.65644e+08 9.66832e+08 9.67621e+08 0
001 055 1 1 9.773e+08 9.7757e+08 9.78235e+08 9.83894e+08 0
000 056 1 1 9.91443e+08 9.9171e+08 9.92375e+08 9.96287e+08 1
000 057 1 1 1.00635e+09 1.00662e+09 1.00728e+09 1.01133e+09 1
000 058 1 1 1.01968e+09 1.01995e+09 1.02061e+09 1.02176e+09 1
000 059 1 1 1.03282e+09 1.03308e+09 1.03452e+09 1.03564e+09 0
000 060 2 0 1.04461e+09 1.04487e+09 1.04574e+09 1.04866e+09 0
000 061 1 1 1.05757e+09 1.05784e+09 1.05864e+09 1.06041e+09 0
000 062 2 0 1.07166e+09 1.07192e+09 1.07339e+09 1.07575e+09 0
000 063 2 0 1.08319e+09 1.08345e+09 1.0846e+09 1.08466e+09 0
000 064 2 1 1.09208e+09 1.09236e+09 1.09287e+09 1.09465e+09 0
001 065 1 0 1.09881e+09 1.09907e+09 1.10053e+09 1.10154e+09 0
001 066 1 1 1.10596e+09 1.10623e+09 1.10739e+09 1.10854e+09 0
000 067 1 1 1.11612e+09 1.11638e+09 1.11754e+09 1.11911e+09 1
000 068 1 1 1.12929e+09 1.12957e+09 1.13073e+09 1.13236e+09 1
000 069 1 1 1.14875e+09 1.14901e+09 1.15017e+09 1.15089e+09 1
000 070 2 1 1.1584e+09 1.15867e+09 1.15948e+09 1.16449e+09 0
001 071 1 1 1.1671e+09 1.16736e+09 1.16789e+09 1.17014e+09 0
000 072 1 1 1.18094e+09 1.18121e+09 1.18174e+09 1.18381e+09 1
000 073 1 0 1.19109e+09 1.19136e+09 1.19189e+09 1.19227e+09 1
001 074 2 0 1.19735e+09 1.19761e+09 1.19864e+09 1.20028e+09 0
000 075 2 0 1.20874e+09 1.209e+09 1.21002e+09 1.21289e+09 1
000 076 2 0 1.23154e+09 1.23183e+09 1.23286e+09 1.23615e+09 1
000 077 2 0 1.24792e+09 1.24819e+09 1.24921e+09 1.25285e+09 1
000 078 2 0 1.26394e+09 1.2642e+09 1.26477e+09 1.26509e+09 0
000 079 2 1 1.27985e+09 1.28012e+09 1.28106e+09 1.28636e+09 0
