trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 1 1 3.08225e+06 3.35021e+06 4.36916e+06 6.73242e+06 0
000 002 1 1 1.40114e+07 1.42639e+07 1.52828e+07 2.8854e+08 1
000 003 1 0 3.01884e+08 3.02151e+08 3.0317e+08 3.03209e+08 1
001 004 2 1 3.25956e+08 3.262e+08 3.27219e+08 3.27935e+08 0
001 005 2 0 3.42955e+08 3.43214e+08 3.44233e+08 3.44258e+08 0
000 006 2 1 3.8064e+08 3.809e+08 3.81919e+08 3.88616e+08 1
001 007 2 0 3.97962e+08 3.98216e+08 3.99235e+08 3.9943e+08 0
000 008 2 0 4.13847e+08 4.14099e+08 4.15118e+08 4.15411e+08 1
000 009 2 1 4.49627e+08 4.49885e+08 4.50904e+08 4.51284e+08 1
001 010 2 0 4.8569e+08 4.85949e+08 4.86968e+08 4.89269e+08 0
000 011 2 0 5.05863e+08 5.06122e+08 5.07141e+08 5.07461e+08 1
000 012 2 1 5.16186e+08 5.16438e+08 5.17457e+08 5.17858e+08 1
001 013 1 1 5.45679e+08 5.45929e+08 5.46948e+08 5.47141e+08 0
000 014 1 1 5.59067e+08 5.59319e+08 5.60338e+08 5.61972e+08 1
000 015 1 1 5.96072e+08 5.96321e+08 5.9734e+08 5.97351e+08 1
000 016 1 1 6.14475e+08 6.14718e+08 6.15737e+08 6.19968e+08 1
000 017 1 0 6.32998e+08 6.33258e+08 6.34276e+08 6.34991e+08 0
001 018 1 1 6.47812e+08 6.48077e+08 6.49096e+08 6.4957e+08 0
000 019 1 1 7.08856e+08 7.09111e+08 7.1013e+08 7.11235e+08 1
000 020 1 1 7.22317e+08 7.22578e+08 7.23597e+08 7.23916e+08 1
000 021 1 1 7.83541e+08 7.83806e+08 7.84825e+08 7.85876e+08 1
000 022 2 1 7.9313e+08 7.93384e+08 7.94403e+08 7.95664e+08 0
001 023 2 1 8.02339e+08 8.02596e+08 8.03615e+08 8.05156e+08 0
001 024 1 1 8.11671e+08 8.11924e+08 8.12943e+08 8.13829e+08 0
000 025 1 0 8.28893e+08 8.29156e+08 8.30175e+08 8.31595e+08 1
001 026 1 1 8.34586e+08 8.34843e+08 8.35862e+08 8.35925e+08 0
000 027 1 1 8.44434e+08 8.44683e+08 8.45701e+08 8.48035e+08 1
000 028 1 1 8.55956e+08 8.56218e+08 8.57237e+08 8.57532e+08 1
000 029 1 1 8.71283e+08 8.71541e+08 8.7256e+08 8.72873e+08 1
000 030 1 0 8.81497e+08 8.81743e+08 8.82762e+08 8.84389e+08 0
001 031 1 1 8.92278e+08 8.92537e+08 8.93556e+08 8.94093e+08 0
000 032 1 0 9.13774e+08 9.14023e+08 9.15042e+08 9.15055e+08 1
001 033 2 0 9.20659e+08 9.20905e+08 9.21924e+08 9.22546e+08 0
000 034 2 0 9.31527e+08 9.31786e+08 9.32805e+08 9.33485e+08 1
000 035 2 0 9.47422e+08 9.47671e+08 9.4869e+08 9.51629e+08 1
000 036 2 1 9.60046e+08 9.60301e+08 9.6132e+08 9.62635e+08 1
001 037 2 0 9.74379e+08 9.74634e+08 9.75653e+08 9.76888e+08 0
000 038 2 0 9.85175e+08 9.85422e+08 9.86441e+08 9.87879e+08 1
000 039 2 1 9.94999e+08 9.95245e+08 9.96264e+08 1.00005e+09 1
001 040 2 1 1.0059e+09 1.00615e+09 1.00717e+09 1.00827e+09 0
001 041 2 0 1.02394e+09 1.02419e+09 1.02521e+09 1.02774e+09 0
000 042 2 0 1.03497e+09 1.03523e+09 1.03625e+09 1.03818e+09 1
000 043 2 0 1.04971e+09 1.04996e+09 1.05098e+09 1.05128e+09 1
000 044 2 1 1.06133e+09 1.06158e+09 1.0626e+09 1.06291e+09 1
001 045 2 0 1.11791e+09 1.11816e+09 1.11918e+09 1.11926e+09 0
000 046 2 1 1.12761e+09 1.12786e+09 1.12888e+09 1.12966e+09 1
001 047 1 0 1.21025e+09 1.2105e+09 1.21152e+09 1.21442e+09 0
001 048 2 1 1.21854e+09 1.21879e+09 1.21981e+09 1.21982e+09 0
001 049 2 1 1.22571e+09 1.22597e+09 1.22699e+09 1.23318e+09 0
001 050 2 1 1.24033e+09 1.24058e+09 1.2416e+09 1.25553e+09 0
001 051 2 1 1.26007e+09 1.26032e+09 1.26134e+09 1.26247e+09 0
001 052 1 1 1.27277e+09 1.27302e+09 1.27404e+09 1.27638e+09 0
000 053 1 1 1.28817e+09 1.28842e+09 1.28944e+09 1.29004e+09 1
000 054 1 1 1.2992e+09 1.29945e+09 1.30047e+09 1.30203e+09 1
000 055 1 1 1.32381e+09 1.32406e+09 1.32508e+09 1.32518e+09 1
000 056 2 1 1.35131e+09 1.35156e+09 1.35258e+09 1.35495e+09 0
001 057 2 1 1.36266e+09 1.36291e+09 1.36393e+09 1.36452e+09 0
001 058 1 0 1.37753e+09 1.37778e+09 1.3788e+09 1.37986e+09 0
001 059 2 0 1.39176e+09 1.392e+09 1.39302e+09 1.39353e+09 0
000 060 2 1 1.46519e+09 1.46544e+09 1.46646e+09 1.46904e+09 1
001 061 2 1 1.47847e+09 1.47872e+09 1.47974e+09 1.47978e+09 0
001 062 2 1 1.49708e+09 1.49733e+09 1.49835e+09 1.50106e+09 0
001 063 2 1 1.51232e+09 1.51258e+09 1.51359e+09 1.51412e+09 0
001 064 2 1 1.52035e+09 1.52059e+09 1.52161e+09 1.5241e+09 0
001 065 1 1 1.52678e+09 1.52703e+09 1.52805e+09 1.52942e+09 0
000 066 1 0 1.54696e+09 1.54722e+09 1.54824e+09 1.54897e+09 1
001 067 2 1 1.55229e+09 1.55254e+09 1.55356e+09 1.55418e+09 0
001 068 1 1 1.56885e+09 1.5691e+09 1.57012e+09 1.57351e+09 0
000 069 1 1 1.58328e+09 1.58354e+09 1.58456e+09 1.58737e+09 1
000 070 1 0 1.6473e+09 1.64755e+09 1.64857e+09 1.65128e+09 1
001 071 2 1 1.68643e+09 1.68669e+09 1.6877e+09 1.68774e+09 0
001 072 1 0 1.70191e+09 1.70217e+09 1.70319e+09 1.70384e+09 0
001 073 2 1 1.7284e+09 1.72865e+09 1.72967e+09 1.73126e+09 0
001 074 1 0 1.7397e+09 1.73995e+09 1.74097e+09 1.74235e+09 0
001 075 2 1 1.76679e+09 1.76705e+09 1.76807e+09 1.77012e+09 0
001 076 1 0 1.7842e+09 1.78446e+09 1.78548e+09 1.78778e+09 0
001 077 2 1 1.79344e+09 1.79368e+09 1.7947e+09 1.79519e+09 0
001 078 1 1 1.79924e+09 1.7995e+09 1.80052e+09 1.80773e+09 0
000 079 1 1 1.8196e+09 1.81985e+09 1.82087e+09 1.82362e+09 1
000 080 1 0 1.84864e+09 1.84889e+09 1.84991e+09 1.85023e+09 1
001 081 1 1 1.85359e+09 1.85384e+09 1.85486e+09 1.85506e+09 0
000 082 1 1 1.87007e+09 1.87033e+09 1.87135e+09 1.87208e+09 1
000 083 1 1 1.8822e+09 1.88245e+09 1.88347e+09 1.88676e+09 1
000 084 1 0 1.90639e+09 1.90664e+09 1.90766e+09 1.90943e+09 1
001 085 1 1 1.91264e+09 1.91289e+09 1.91391e+09 1.91656e+09 0
000 086 1 0 1.93581e+09 1.93606e+09 1.93708e+09 1.93735e+09 1
001 087 1 1 1.97857e+09 1.97882e+09 1.97984e+09 1.98344e+09 0
000 088 1 0 2.00154e+09 2.0018e+09 2.00282e+09 2.00326e+09 1
001 089 2 0 2.02261e+09 2.02286e+09 2.02388e+09 2.02403e+09 0
