trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 1 1 1.79989e+07 1.8297e+07 1.93173e+07 1.93836e+07 0 0
002 1 0 2.87847e+07 2.90563e+07 3.00766e+07 3.54732e+07 1 1
003 2 0 6.96955e+07 6.9977e+07 7.09973e+07 7.9074e+07 0 0
004 2 0 8.66396e+07 8.69061e+07 8.79264e+07 9.27575e+07 1 0
005 2 0 1.15331e+08 1.15588e+08 1.16608e+08 1.18343e+08 1 0
006 2 1 1.2564e+08 1.25899e+08 1.26919e+08 1.27545e+08 1 1
007 2 0 1.51009e+08 1.5126e+08 1.5228e+08 1.52555e+08 0 0
008 2 1 1.81643e+08 1.81897e+08 1.82917e+08 1.8296e+08 1 1
009 1 1 1.9639e+08 1.96647e+08 1.97667e+08 2.00742e+08 0 0
010 1 1 2.1827e+08 2.18523e+08 2.19543e+08 2.19552e+08 1 0
011 1 0 2.36622e+08 2.3689e+08 2.3791e+08 2.39675e+08 1 1
012 1 1 2.48677e+08 2.48936e+08 2.49957e+08 2.51153e+08 0 0
013 1 0 2.60283e+08 2.60544e+08 2.61564e+08 2.64225e+08 1 1
014 2 0 2.73564e+08 2.73825e+08 2.74845e+08 2.77337e+08 0 0
015 2 1 2.85762e+08 2.86021e+08 2.87041e+08 2.87096e+08 1 1
016 1 0 2.94457e+08 2.94707e+08 2.95728e+08 2.95758e+08 0 1
017 2 1 3.3134e+08 3.31599e+08 3.32619e+08 3.32818e+08 0 1
018 2 0 3.59467e+08 3.59727e+08 3.60747e+08 3.60908e+08 0 0
019 2 1 3.68724e+08 3.68985e+08 3.70005e+08 3.73067e+08 1 1
020 2 1 3.80126e+08 3.8038e+08 3.814e+08 3.83144e+08 0 1
021 2 0 3.9638e+08 3.9664e+08 3.9766e+08 3.98979e+08 0 0
022 2 0 4.08798e+08 4.09061e+08 4.10082e+08 4.12086e+08 1 0
023 2 0 4.37896e+08 4.38147e+08 4.39168e+08 4.39974e+08 1 0
024 2 1 4.63063e+08 4.63324e+08 4.64344e+08 4.67728e+08 1 1
025 2 1 5.00039e+08 5.00299e+08 5.0132e+08 5.01373e+08 0 1
026 1 1 5.21754e+08 5.22006e+08 5.23027e+08 5.23179e+08 0 0
027 1 0 5.30464e+08 5.30722e+08 5.31742e+08 5.32719e+08 1 1
028 1 0 5.575e+08 5.57752e+08 5.58773e+08 5.59101e+08 0 1
029 2 0 6.13338e+08 6.13591e+08 6.14611e+08 6.15098e+08 0 0
030 2 0 6.22464e+08 6.22732e+08 6.23753e+08 6.25895e+08 1 0
031 2 0 6.35915e+08 6.36175e+08 6.37195e+08 6.38952e+08 1 0
032 2 0 6.4637e+08 6.46623e+08 6.47644e+08 6.4772e+08 1 0
033 1 0 6.61683e+08 6.61955e+08 6.62976e+08 6.6575e+08 0 1
034 2 0 6.7557e+08 6.75823e+08 6.76843e+08 6.77086e+08 0 0
035 2 0 6.85213e+08 6.85464e+08 6.86484e+08 6.89733e+08 1 0
036 2 0 6.96908e+08 6.97166e+08 6.98186e+08 7.01166e+08 1 0
037 2 0 7.09364e+08 7.09627e+08 7.10648e+08 7.10708e+08 1 0
038 2 0 7.17966e+08 7.18224e+08 7.19244e+08 7.27767e+08 0 0
039 1 1 7.38216e+08 7.38483e+08 7.39503e+08 7.42759e+08 0 0
040 1 0 7.80173e+08 7.80439e+08 7.81459e+08 7.81685e+08 0 1
041 1 0 7.99321e+08 7.99582e+08 8.00602e+08 8.02289e+08 0 1
042 1 0 8.06987e+08 8.07242e+08 8.08262e+08 8.0833e+08 0 1
043 2 0 8.31052e+08 8.31306e+08 8.32326e+08 8.32368e+08 0 0
