trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 5 0 1.22675e+07 1.25948e+07 1.36144e+07 1.37294e+07 0 0
002 5 1 2.11518e+07 2.14255e+07 2.24451e+07 2.25214e+07 1 1
003 1 0 2.8288e+07 2.8569e+07 2.95886e+07 3.06175e+07 0 1
004 5 0 3.33578e+07 3.36101e+07 3.46297e+07 3.46962e+07 0 0
005 5 1 5.09952e+07 5.12476e+07 5.22672e+07 5.35199e+07 1 1
006 5 1 5.75201e+07 5.77755e+07 5.87951e+07 5.95338e+07 0 1
007 5 1 6.3317e+07 6.35869e+07 6.46065e+07 6.57175e+07 0 1
008 5 1 8.4521e+07 8.47846e+07 8.58042e+07 8.75954e+07 0 1
009 1 0 9.52914e+07 9.5553e+07 9.65726e+07 9.7056e+07 0 1
010 5 0 1.01831e+08 1.02092e+08 1.03112e+08 1.03782e+08 0 0
011 5 1 1.13773e+08 1.14035e+08 1.15055e+08 1.16022e+08 1 1
012 1 0 1.20548e+08 1.20826e+08 1.21845e+08 1.21861e+08 0 1
013 1 0 1.27184e+08 1.27444e+08 1.28463e+08 1.28662e+08 0 1
014 2 0 1.3231e+08 1.32571e+08 1.33591e+08 1.33619e+08 0 99
015 5 1 1.36162e+08 1.36427e+08 1.37446e+08 1.39328e+08 0 1
016 1 1 1.46003e+08 1.46258e+08 1.47278e+08 1.47297e+08 0 0
017 1 1 1.58163e+08 1.58414e+08 1.59434e+08 1.59576e+08 1 0
018 1 0 1.6974e+08 1.69987e+08 1.71007e+08 1.71816e+08 1 1
019 5 1 1.76608e+08 1.7687e+08 1.77889e+08 1.78452e+08 0 1
020 1 0 1.84394e+08 1.84662e+08 1.85682e+08 1.85869e+08 0 1
021 1 0 1.92926e+08 1.93185e+08 1.94205e+08 1.94436e+08 0 1
022 5 0 1.9933e+08 1.99592e+08 2.00611e+08 2.00616e+08 0 0
023 5 1 2.0864e+08 2.08899e+08 2.09918e+08 2.10897e+08 1 1
024 1 0 2.15524e+08 2.15787e+08 2.16807e+08 2.1721e+08 0 1
025 1 0 2.22636e+08 2.229e+08 2.23919e+08 2.24274e+08 0 1
026 1 1 2.26923e+08 2.27171e+08 2.28191e+08 2.2911e+08 0 0
027 1 0 2.36617e+08 2.36872e+08 2.37891e+08 2.38338e+08 1 1
028 1 1 2.41222e+08 2.41478e+08 2.42497e+08 2.42517e+08 0 0
029 1 0 2.51934e+08 2.5218e+08 2.532e+08 2.53293e+08 1 1
030 5 1 2.55946e+08 2.56207e+08 2.57226e+08 2.57295e+08 0 1
031 2 0 2.62187e+08 2.62449e+08 2.63469e+08 2.63905e+08 0 99
032 5 1 2.66704e+08 2.66964e+08 2.67983e+08 2.7e+08 0 1
033 1 1 2.80711e+08 2.80976e+08 2.81995e+08 2.82541e+08 0 0
034 1 1 2.89774e+08 2.90023e+08 2.91043e+08 2.91166e+08 1 0
035 1 1 3.04773e+08 3.0503e+08 3.0605e+08 3.07543e+08 1 0
036 1 1 3.14861e+08 3.15119e+08 3.16139e+08 3.1666e+08 1 0
037 1 0 3.23849e+08 3.24101e+08 3.2512e+08 3.25433e+08 0 1
038 1 0 3.28312e+08 3.28577e+08 3.29597e+08 3.29757e+08 0 1
039 5 1 3.32795e+08 3.33063e+08 3.34083e+08 3.36714e+08 0 1
040 5 1 3.40997e+08 3.4126e+08 3.4228e+08 3.45268e+08 0 1
041 5 1 3.50465e+08 3.50718e+08 3.51738e+08 3.52681e+08 0 1
042 5 1 3.5793e+08 3.58183e+08 3.59203e+08 3.60208e+08 0 1
043 1 0 3.65822e+08 3.6608e+08 3.671e+08 3.67233e+08 0 1
044 2 0 3.70018e+08 3.70272e+08 3.71292e+08 3.71391e+08 0 99
045 2 1 3.74022e+08 3.74283e+08 3.75302e+08 3.7574e+08 0 99
046 1 0 3.80112e+08 3.80359e+08 3.81378e+08 3.81383e+08 0 1
047 1 0 3.85679e+08 3.85935e+08 3.86954e+08 3.87438e+08 0 1
048 5 1 3.9017e+08 3.90423e+08 3.91443e+08 3.91688e+08 0 1
049 1 0 3.97895e+08 3.98155e+08 3.99175e+08 3.99189e+08 0 1
050 1 0 4.04172e+08 4.04417e+08 4.05436e+08 4.06186e+08 0 1
051 1 0 4.11987e+08 4.12241e+08 4.13261e+08 4.13754e+08 0 1
052 4 0 4.16771e+08 4.17036e+08 4.18056e+08 4.18115e+08 0 99
