trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 1 0 3.11502e+06 3.38554e+06 4.40512e+06 4.59493e+06 0 1
002 5 1 1.40309e+07 1.42809e+07 1.53005e+07 1.5378e+07 0 1
003 5 0 1.97878e+07 2.005e+07 2.10696e+07 2.48131e+07 0 0
004 5 1 3.27998e+07 3.30598e+07 3.40793e+07 3.49963e+07 1 1
005 1 0 3.79853e+07 3.82524e+07 3.9272e+07 3.94179e+07 0 1
006 4 0 4.27971e+07 4.30465e+07 4.40661e+07 4.41254e+07 0 99
007 5 1 4.70364e+07 4.72859e+07 4.83055e+07 5.02584e+07 0 1
008 5 0 5.39474e+07 5.42088e+07 5.52284e+07 5.57268e+07 0 0
009 5 1 6.29822e+07 6.3233e+07 6.42526e+07 6.49468e+07 1 1
010 5 0 6.79404e+07 6.81932e+07 6.92128e+07 7.03798e+07 0 0
011 5 1 7.95945e+07 7.9846e+07 8.08656e+07 8.5334e+07 1 1
012 5 0 8.83825e+07 8.86376e+07 8.96572e+07 8.98569e+07 0 0
013 5 1 9.69431e+07 9.72065e+07 9.82261e+07 9.86639e+07 1 1
014 5 1 1.01691e+08 1.01944e+08 1.02964e+08 1.03572e+08 0 1
015 1 0 1.06132e+08 1.06385e+08 1.07405e+08 1.07846e+08 0 1
016 1 0 1.10738e+08 1.10994e+08 1.12014e+08 1.1227e+08 0 1
017 3 1 1.15041e+08 1.15294e+08 1.16314e+08 1.16356e+08 0 99
018 1 1 1.18994e+08 1.19244e+08 1.20264e+08 1.20378e+08 0 0
019 1 1 1.27706e+08 1.2796e+08 1.2898e+08 1.28996e+08 1 0
020 1 1 1.38301e+08 1.38549e+08 1.39569e+08 1.39759e+08 1 0
021 1 1 1.50407e+08 1.50656e+08 1.51676e+08 1.51963e+08 1 0
022 1 0 1.59219e+08 1.59467e+08 1.60487e+08 1.60645e+08 0 1
023 3 1 1.63256e+08 1.6351e+08 1.6453e+08 1.65687e+08 0 99
024 4 1 1.71469e+08 1.71729e+08 1.72748e+08 1.79571e+08 0 99
025 5 1 1.84571e+08 1.84824e+08 1.85844e+08 1.87627e+08 0 1
026 5 1 1.90511e+08 1.90766e+08 1.91786e+08 1.9414e+08 0 1
027 1 1 1.96786e+08 1.97043e+08 1.98062e+08 1.98155e+08 0 0
028 1 1 2.10524e+08 2.1078e+08 2.118e+08 2.17905e+08 1 0
029 1 1 2.25344e+08 2.25591e+08 2.26611e+08 2.26853e+08 1 0
030 1 1 2.34151e+08 2.34398e+08 2.35417e+08 2.40745e+08 1 0
031 1 1 2.48845e+08 2.49102e+08 2.50122e+08 2.50196e+08 0 0
032 1 1 2.58112e+08 2.58365e+08 2.59385e+08 2.60661e+08 0 0
033 2 1 2.68241e+08 2.68499e+08 2.69519e+08 2.77383e+08 0 99
034 5 1 2.80005e+08 2.80265e+08 2.81285e+08 2.86151e+08 0 1
035 4 1 2.89031e+08 2.89288e+08 2.90308e+08 2.906e+08 0 99
036 1 1 2.93326e+08 2.93578e+08 2.94598e+08 2.94679e+08 0 0
037 1 0 3.03465e+08 3.03728e+08 3.04747e+08 3.04808e+08 1 1
038 5 1 3.13458e+08 3.13702e+08 3.14722e+08 3.16579e+08 0 1
039 5 1 3.19586e+08 3.19839e+08 3.20858e+08 3.21438e+08 0 1
040 5 1 3.24242e+08 3.24489e+08 3.25508e+08 3.25793e+08 0 1
041 1 0 3.29304e+08 3.29559e+08 3.30579e+08 3.30935e+08 0 1
042 1 0 3.33599e+08 3.33851e+08 3.3487e+08 3.34988e+08 0 1
043 1 0 3.37705e+08 3.37956e+08 3.38975e+08 3.39246e+08 0 1
044 1 0 3.45413e+08 3.45659e+08 3.46678e+08 3.5025e+08 0 1
045 4 1 3.53494e+08 3.53749e+08 3.54769e+08 3.55014e+08 0 99
046 3 1 3.59792e+08 3.60049e+08 3.61068e+08 3.6636e+08 0 99
047 5 0 3.69104e+08 3.69365e+08 3.70384e+08 3.7146e+08 0 0
048 5 1 3.8051e+08 3.80769e+08 3.81788e+08 4.10371e+08 1 1
049 1 0 4.13108e+08 4.13353e+08 4.14373e+08 4.14504e+08 0 1
050 1 0 4.1739e+08 4.1764e+08 4.1866e+08 4.18721e+08 0 1
051 5 1 4.2187e+08 4.22131e+08 4.23151e+08 4.23278e+08 0 1
052 2 0 4.27282e+08 4.27544e+08 4.28564e+08 4.28578e+08 0 99
053 1 1 4.32931e+08 4.33181e+08 4.34201e+08 4.36169e+08 0 0
054 1 1 4.43262e+08 4.4351e+08 4.4453e+08 4.45209e+08 1 0
055 1 1 4.52636e+08 4.52898e+08 4.53917e+08 4.61856e+08 1 0
056 1 0 4.73007e+08 4.73266e+08 4.74286e+08 4.74333e+08 1 1
057 5 1 4.77637e+08 4.77882e+08 4.78901e+08 4.79589e+08 0 1
058 4 0 4.82892e+08 4.83157e+08 4.84177e+08 4.84494e+08 0 99
059 2 1 4.87557e+08 4.87809e+08 4.88829e+08 4.89378e+08 0 99
060 1 0 4.9251e+08 4.92775e+08 4.93794e+08 4.9391e+08 0 1
061 5 0 5.01092e+08 5.01354e+08 5.02373e+08 5.07293e+08 0 0
062 5 0 5.14463e+08 5.14718e+08 5.15737e+08 5.16285e+08 1 0
063 5 1 5.23342e+08 5.23587e+08 5.24607e+08 5.25447e+08 1 1
064 1 0 5.28751e+08 5.2902e+08 5.30039e+08 5.30083e+08 0 1
065 5 1 5.34327e+08 5.34584e+08 5.35604e+08 5.35718e+08 0 1
066 5 1 5.38763e+08 5.39009e+08 5.40029e+08 5.40887e+08 0 1
067 5 1 5.4392e+08 5.44173e+08 5.45193e+08 5.45213e+08 0 1
068 1 0 5.50099e+08 5.50343e+08 5.51363e+08 5.51647e+08 0 1
069 5 0 5.5494e+08 5.55197e+08 5.56216e+08 5.566e+08 0 0
070 5 1 5.64401e+08 5.64663e+08 5.65683e+08 5.66351e+08 1 1
071 5 0 5.69533e+08 5.69794e+08 5.70813e+08 5.70949e+08 0 0
072 5 1 5.78122e+08 5.78373e+08 5.79393e+08 5.82975e+08 1 1
073 3 1 5.87412e+08 5.87674e+08 5.88694e+08 5.89195e+08 0 99
074 5 1 5.92655e+08 5.92908e+08 5.93928e+08 5.99728e+08 0 1
075 3 0 6.03023e+08 6.03275e+08 6.04295e+08 6.04662e+08 0 99
076 5 0 6.08829e+08 6.09082e+08 6.10101e+08 6.10704e+08 0 0
077 5 1 6.18913e+08 6.19161e+08 6.2018e+08 6.22179e+08 1 1
078 1 0 6.25733e+08 6.25988e+08 6.27008e+08 6.27201e+08 0 1
079 4 1 6.31157e+08 6.31401e+08 6.32421e+08 6.32994e+08 0 99
080 1 0 6.36635e+08 6.36885e+08 6.37905e+08 6.38352e+08 0 1
081 1 0 6.41886e+08 6.42143e+08 6.43163e+08 6.4377e+08 0 1
082 5 1 6.47127e+08 6.47372e+08 6.48392e+08 6.48402e+08 0 1
083 1 0 6.51958e+08 6.5222e+08 6.53239e+08 6.53342e+08 0 1
084 1 0 6.5703e+08 6.57293e+08 6.58313e+08 6.58402e+08 0 1
085 2 0 6.64592e+08 6.64869e+08 6.65888e+08 6.65923e+08 0 99
086 1 1 6.70385e+08 6.70653e+08 6.71673e+08 6.74951e+08 0 0
087 1 0 6.82832e+08 6.83082e+08 6.84101e+08 6.84161e+08 1 1
088 5 1 6.87956e+08 6.88216e+08 6.89236e+08 6.89723e+08 0 1
089 5 1 6.94999e+08 6.95262e+08 6.96282e+08 6.96701e+08 0 1
090 1 0 7.00332e+08 7.0059e+08 7.0161e+08 7.01629e+08 0 1
091 5 1 7.09272e+08 7.09532e+08 7.10551e+08 7.11383e+08 0 1
092 1 1 7.16746e+08 7.17004e+08 7.18024e+08 7.1818e+08 0 0
093 1 1 7.29742e+08 7.30003e+08 7.31022e+08 7.32532e+08 1 0
094 1 1 7.39869e+08 7.40119e+08 7.41138e+08 7.41209e+08 1 0
095 1 0 7.48817e+08 7.49078e+08 7.50097e+08 7.5017e+08 1 1
096 4 1 7.59022e+08 7.5927e+08 7.6029e+08 7.60321e+08 0 99
097 4 1 7.64189e+08 7.64452e+08 7.65471e+08 7.68797e+08 0 99
098 5 1 7.72625e+08 7.7287e+08 7.7389e+08 7.7752e+08 0 1
099 3 0 7.82105e+08 7.82355e+08 7.83375e+08 7.83532e+08 0 99
100 5 1 7.89153e+08 7.89409e+08 7.90429e+08 7.93097e+08 0 1
101 1 1 7.979e+08 7.98157e+08 7.99177e+08 8.00975e+08 0 0
102 1 0 8.08424e+08 8.08671e+08 8.09691e+08 8.09821e+08 1 1
103 1 1 8.16842e+08 8.17093e+08 8.18113e+08 8.1858e+08 0 0
104 1 1 8.27148e+08 8.27404e+08 8.28424e+08 8.28815e+08 1 0
105 1 1 8.35951e+08 8.36201e+08 8.37221e+08 8.37259e+08 1 0
106 1 1 8.44669e+08 8.44923e+08 8.45943e+08 8.48816e+08 1 0
107 2 1 8.57474e+08 8.57733e+08 8.58752e+08 8.63007e+08 0 99
108 5 1 8.67783e+08 8.68034e+08 8.69054e+08 8.70228e+08 0 1
109 1 1 8.80875e+08 8.81121e+08 8.82141e+08 8.90433e+08 0 0
110 1 1 8.97469e+08 8.97712e+08 8.98732e+08 8.9926e+08 1 0
111 1 1 9.06764e+08 9.07021e+08 9.0804e+08 9.10213e+08 1 0
112 1 1 9.18995e+08 9.19257e+08 9.20277e+08 9.28409e+08 1 0
113 2 0 9.35862e+08 9.36109e+08 9.37129e+08 9.37319e+08 0 99
114 5 1 9.41662e+08 9.4191e+08 9.4293e+08 9.45679e+08 0 1
115 3 1 9.54176e+08 9.54427e+08 9.55446e+08 9.57825e+08 0 99
116 1 1 9.62076e+08 9.62321e+08 9.63341e+08 9.64004e+08 0 0
117 1 1 9.71248e+08 9.71506e+08 9.72526e+08 9.76014e+08 1 0
118 1 1 9.83216e+08 9.83474e+08 9.84494e+08 9.93422e+08 1 0
119 1 1 1.00086e+09 1.00113e+09 1.00215e+09 1.04232e+09 1 0
120 5 1 1.0495e+09 1.04975e+09 1.05077e+09 1.05536e+09 0 1
121 1 0 1.06285e+09 1.0631e+09 1.06411e+09 1.06432e+09 0 1
122 5 1 1.06872e+09 1.06897e+09 1.06999e+09 1.07085e+09 0 1
123 1 1 1.07775e+09 1.07801e+09 1.07903e+09 1.08072e+09 0 0
124 1 0 1.08786e+09 1.08812e+09 1.08914e+09 1.08917e+09 1 1
125 1 1 1.09761e+09 1.09786e+09 1.09888e+09 1.10072e+09 0 0
126 1 1 1.10889e+09 1.10914e+09 1.11016e+09 1.11313e+09 1 0
127 1 1 1.12033e+09 1.12059e+09 1.12161e+09 1.12181e+09 1 0
128 1 1 1.12917e+09 1.12943e+09 1.13045e+09 1.13079e+09 1 0
129 1 1 1.13987e+09 1.14013e+09 1.14115e+09 1.14262e+09 0 0
130 2 1 1.15019e+09 1.15044e+09 1.15146e+09 1.15194e+09 0 99
131 1 1 1.15635e+09 1.15661e+09 1.15763e+09 1.16355e+09 0 0
132 1 1 1.17141e+09 1.17167e+09 1.17269e+09 1.23297e+09 1 0
133 1 0 1.24047e+09 1.24071e+09 1.24173e+09 1.24207e+09 1 1
134 5 1 1.24672e+09 1.24698e+09 1.248e+09 1.26814e+09 0 1
135 5 1 1.27288e+09 1.27313e+09 1.27415e+09 1.27427e+09 0 1
136 5 1 1.28392e+09 1.28416e+09 1.28518e+09 1.28657e+09 0 1
137 2 0 1.29146e+09 1.29173e+09 1.29275e+09 1.29279e+09 0 99
138 5 1 1.29741e+09 1.29766e+09 1.29868e+09 1.30634e+09 0 1
139 3 1 1.31173e+09 1.31198e+09 1.313e+09 1.31302e+09 0 99
140 1 1 1.31891e+09 1.31917e+09 1.32019e+09 1.32097e+09 0 0
141 1 1 1.32825e+09 1.32851e+09 1.32953e+09 1.3316e+09 1 0
142 1 1 1.33873e+09 1.33899e+09 1.34001e+09 1.34026e+09 1 0
143 1 1 1.34951e+09 1.34976e+09 1.35078e+09 1.35226e+09 1 0
144 1 1 1.36029e+09 1.36055e+09 1.36157e+09 1.36163e+09 0 0
145 3 1 1.37001e+09 1.37026e+09 1.37128e+09 1.37391e+09 0 99
146 4 1 1.37883e+09 1.3791e+09 1.38012e+09 1.38027e+09 0 99
147 5 1 1.38656e+09 1.38681e+09 1.38783e+09 1.3889e+09 0 1
148 5 1 1.39387e+09 1.39412e+09 1.39514e+09 1.40169e+09 0 1
149 1 0 1.40678e+09 1.40704e+09 1.40806e+09 1.40817e+09 0 1
150 1 0 1.41303e+09 1.41329e+09 1.41431e+09 1.41436e+09 0 1
151 5 1 1.41922e+09 1.41948e+09 1.4205e+09 1.42063e+09 0 1
152 5 1 1.42564e+09 1.42591e+09 1.42693e+09 1.42895e+09 0 1
153 5 0 1.43606e+09 1.43631e+09 1.43733e+09 1.44336e+09 0 0
154 5 1 1.45364e+09 1.4539e+09 1.45492e+09 1.45501e+09 1 1
155 1 1 1.46319e+09 1.46344e+09 1.46446e+09 1.46895e+09 0 0
156 1 1 1.47619e+09 1.47644e+09 1.47746e+09 1.4776e+09 1 0
157 1 1 1.4849e+09 1.48516e+09 1.48618e+09 1.48692e+09 1 0
158 1 0 1.49398e+09 1.49423e+09 1.49525e+09 1.4979e+09 1 1
159 1 1 1.50857e+09 1.50883e+09 1.50985e+09 1.51679e+09 0 0
160 1 0 1.52447e+09 1.52472e+09 1.52574e+09 1.52583e+09 1 1
161 5 1 1.53282e+09 1.53306e+09 1.53408e+09 1.54197e+09 0 1
162 2 0 1.54736e+09 1.54761e+09 1.54862e+09 1.54863e+09 0 99
163 5 1 1.55434e+09 1.5546e+09 1.55562e+09 1.56306e+09 0 1
164 5 1 1.56925e+09 1.56951e+09 1.57053e+09 1.57073e+09 0 1
165 5 1 1.57632e+09 1.57658e+09 1.5776e+09 1.58022e+09 0 1
166 4 1 1.58766e+09 1.58791e+09 1.58893e+09 1.58936e+09 0 99
167 1 1 1.59464e+09 1.59489e+09 1.59591e+09 1.59593e+09 0 0
168 1 1 1.60299e+09 1.60325e+09 1.60427e+09 1.61273e+09 1 0
169 1 1 1.61979e+09 1.62004e+09 1.62106e+09 1.62992e+09 1 0
170 1 1 1.63748e+09 1.63772e+09 1.63874e+09 1.64689e+09 1 0
171 4 1 1.65417e+09 1.65444e+09 1.65546e+09 1.65565e+09 0 99
172 4 1 1.66116e+09 1.66143e+09 1.66245e+09 1.67192e+09 0 99
173 1 1 1.67748e+09 1.67773e+09 1.67875e+09 1.69317e+09 0 0
174 1 1 1.70143e+09 1.70169e+09 1.70271e+09 1.71348e+09 1 0
175 1 1 1.72071e+09 1.72096e+09 1.72198e+09 1.72527e+09 1 0
176 1 1 1.73261e+09 1.73286e+09 1.73388e+09 1.73391e+09 1 0
177 2 1 1.74352e+09 1.74376e+09 1.74478e+09 1.76007e+09 0 99
178 4 1 1.76565e+09 1.7659e+09 1.76692e+09 1.77963e+09 0 99
179 3 1 1.7851e+09 1.78536e+09 1.78638e+09 1.78903e+09 0 99
180 1 1 1.79481e+09 1.79506e+09 1.79608e+09 1.83374e+09 0 0
181 1 1 1.841e+09 1.84126e+09 1.84228e+09 1.85007e+09 1 0
182 1 1 1.85726e+09 1.85751e+09 1.85852e+09 1.87113e+09 1 0
183 1 1 1.879e+09 1.87924e+09 1.88026e+09 1.88532e+09 1 0
184 1 1 1.89272e+09 1.89298e+09 1.894e+09 1.90491e+09 0 0
185 5 1 1.91258e+09 1.91284e+09 1.91386e+09 1.93037e+09 0 1
186 5 1 1.94181e+09 1.94206e+09 1.94308e+09 1.95155e+09 0 1
187 5 1 1.95721e+09 1.95746e+09 1.95848e+09 1.96276e+09 0 1
188 5 1 1.96871e+09 1.96897e+09 1.96999e+09 1.9798e+09 0 1
189 5 1 1.98887e+09 1.98912e+09 1.99014e+09 1.99922e+09 0 1
190 3 1 2.0069e+09 2.00716e+09 2.00818e+09 2.01102e+09 0 99
191 2 1 2.017e+09 2.01726e+09 2.01828e+09 2.01843e+09 0 99
192 1 1 2.02454e+09 2.0248e+09 2.02582e+09 2.03594e+09 0 0
193 1 1 2.04523e+09 2.04548e+09 2.0465e+09 2.05125e+09 1 0
194 1 1 2.05834e+09 2.05859e+09 2.05961e+09 2.07517e+09 1 0
195 1 0 2.08251e+09 2.08275e+09 2.08377e+09 2.08419e+09 1 1
196 1 1 2.09036e+09 2.09062e+09 2.09164e+09 2.09317e+09 0 0
197 1 1 2.10252e+09 2.10277e+09 2.10379e+09 2.11363e+09 1 0
198 1 1 2.12076e+09 2.12102e+09 2.12204e+09 2.12261e+09 1 0
199 1 1 2.13186e+09 2.13212e+09 2.13314e+09 2.13497e+09 1 0
200 5 1 2.1423e+09 2.14256e+09 2.14358e+09 2.15257e+09 0 1
201 1 1 2.16342e+09 2.16367e+09 2.16469e+09 2.17935e+09 0 0
202 1 0 2.18679e+09 2.18704e+09 2.18806e+09 2.18821e+09 1 1
203 1 1 2.19418e+09 2.19443e+09 2.19544e+09 2.19913e+09 0 0
204 1 1 2.20635e+09 2.20661e+09 2.20763e+09 2.21302e+09 1 0
205 1 1 2.22034e+09 2.22059e+09 2.22161e+09 2.24625e+09 1 0
206 1 1 2.25347e+09 2.25371e+09 2.25473e+09 2.26888e+09 1 0
207 3 1 2.27642e+09 2.27667e+09 2.27769e+09 2.27843e+09 0 99
208 5 1 2.28444e+09 2.28469e+09 2.28571e+09 2.28588e+09 0 1
209 1 1 2.29575e+09 2.29602e+09 2.29704e+09 2.30488e+09 0 0
