trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 5 1 4.92042e+07 4.95042e+07 5.05238e+07 5.05406e+07 0 1
002 5 1 6.94549e+07 6.97299e+07 7.07494e+07 7.08366e+07 0 1
003 1 0 9.08933e+07 9.11764e+07 9.2196e+07 9.22859e+07 0 1
004 5 0 9.49893e+07 9.52478e+07 9.62673e+07 9.79781e+07 0 0
005 5 1 1.09735e+08 1.09999e+08 1.11018e+08 1.11045e+08 1 1
006 1 0 1.13854e+08 1.14109e+08 1.15129e+08 1.15705e+08 0 1
007 1 0 1.21556e+08 1.2182e+08 1.22839e+08 1.27691e+08 0 1
008 3 1 1.30595e+08 1.30854e+08 1.31873e+08 1.37402e+08 0 99
009 1 0 1.46064e+08 1.46314e+08 1.47333e+08 1.5348e+08 0 1
010 1 0 1.56443e+08 1.56705e+08 1.57725e+08 1.63155e+08 0 1
011 1 1 1.65841e+08 1.661e+08 1.6712e+08 1.70631e+08 0 0
012 1 0 1.94382e+08 1.94637e+08 1.95657e+08 1.9643e+08 1 1
013 2 0 1.9903e+08 1.99296e+08 2.00316e+08 2.00478e+08 0 99
014 5 0 2.11113e+08 2.11373e+08 2.12393e+08 2.13178e+08 0 0
015 5 1 2.25646e+08 2.25897e+08 2.26917e+08 2.26932e+08 1 1
016 5 1 2.29705e+08 2.29955e+08 2.30975e+08 2.31017e+08 0 1
017 5 1 2.33888e+08 2.34139e+08 2.35159e+08 2.37193e+08 0 1
018 5 1 2.3984e+08 2.40096e+08 2.41116e+08 2.4113e+08 0 1
019 1 0 2.43977e+08 2.44236e+08 2.45255e+08 2.45272e+08 0 1
020 1 0 2.61595e+08 2.61854e+08 2.62873e+08 2.6289e+08 0 1
021 2 0 2.65651e+08 2.65902e+08 2.66921e+08 2.67717e+08 0 99
022 5 1 2.70311e+08 2.70566e+08 2.71586e+08 2.71718e+08 0 1
023 2 0 2.74689e+08 2.74948e+08 2.75968e+08 2.76244e+08 0 99
024 1 0 2.83622e+08 2.83888e+08 2.84908e+08 2.84916e+08 0 1
025 1 0 2.87773e+08 2.88019e+08 2.89039e+08 2.89267e+08 0 1
026 5 1 2.92148e+08 2.92404e+08 2.93424e+08 2.93498e+08 0 1
027 5 1 2.96144e+08 2.96414e+08 2.97434e+08 2.98024e+08 0 1
028 5 1 3.00889e+08 3.0115e+08 3.02169e+08 3.02194e+08 0 1
029 3 1 3.04763e+08 3.0501e+08 3.0603e+08 3.06305e+08 0 99
030 2 0 3.1449e+08 3.1475e+08 3.15769e+08 3.15843e+08 0 99
031 5 1 3.20225e+08 3.2049e+08 3.21509e+08 3.21742e+08 0 1
032 1 1 3.24424e+08 3.24682e+08 3.25701e+08 3.32166e+08 0 0
033 1 0 3.39543e+08 3.39802e+08 3.40822e+08 3.40908e+08 1 1
034 3 0 3.44218e+08 3.44474e+08 3.45493e+08 3.45879e+08 0 99
035 1 0 3.49786e+08 3.50038e+08 3.51057e+08 3.51272e+08 0 1
036 5 1 3.5529e+08 3.55547e+08 3.56567e+08 3.56591e+08 0 1
037 1 0 3.59422e+08 3.59679e+08 3.60699e+08 3.60836e+08 0 1
038 5 1 3.6392e+08 3.64172e+08 3.65192e+08 3.65254e+08 0 1
039 1 0 3.68059e+08 3.68317e+08 3.69336e+08 3.69445e+08 0 1
040 5 1 3.73432e+08 3.7369e+08 3.74709e+08 3.7475e+08 0 1
041 5 1 3.78292e+08 3.78542e+08 3.79562e+08 3.7996e+08 0 1
042 1 0 3.82722e+08 3.82985e+08 3.84004e+08 3.84475e+08 0 1
043 5 1 3.87407e+08 3.8766e+08 3.88679e+08 3.88689e+08 0 1
044 5 0 3.91253e+08 3.91511e+08 3.92531e+08 3.9608e+08 0 0
045 5 0 4.03265e+08 4.03526e+08 4.04546e+08 4.07666e+08 1 0
046 5 1 4.15484e+08 4.15736e+08 4.16755e+08 4.16928e+08 1 1
047 5 1 4.21649e+08 4.219e+08 4.22919e+08 4.23391e+08 0 1
048 5 1 4.26134e+08 4.26392e+08 4.27412e+08 4.27492e+08 0 1
049 5 1 4.30462e+08 4.30717e+08 4.31737e+08 4.31745e+08 0 1
050 1 0 4.34437e+08 4.34688e+08 4.35707e+08 4.35852e+08 0 1
051 1 0 4.38621e+08 4.38878e+08 4.39897e+08 4.39998e+08 0 1
052 5 0 4.42516e+08 4.42763e+08 4.43783e+08 4.48745e+08 0 0
053 5 1 4.57357e+08 4.57607e+08 4.58627e+08 4.58985e+08 1 1
054 3 0 4.61682e+08 4.61934e+08 4.62954e+08 4.63109e+08 0 99
055 5 0 4.65717e+08 4.65974e+08 4.66994e+08 4.67567e+08 0 0
056 5 1 4.7463e+08 4.74884e+08 4.75903e+08 4.84883e+08 1 1
057 4 1 4.87765e+08 4.88021e+08 4.89041e+08 4.89047e+08 0 99
058 4 0 4.94068e+08 4.94319e+08 4.95338e+08 4.96403e+08 0 99
059 5 1 4.99207e+08 4.99459e+08 5.00478e+08 5.00696e+08 0 1
060 1 0 5.03714e+08 5.03967e+08 5.04987e+08 5.05176e+08 0 1
061 5 1 5.08035e+08 5.08289e+08 5.09308e+08 5.09341e+08 0 1
062 5 1 5.1231e+08 5.12559e+08 5.13579e+08 5.13589e+08 0 1
063 1 0 5.16301e+08 5.16558e+08 5.17578e+08 5.17775e+08 0 1
064 1 0 5.20361e+08 5.20612e+08 5.21631e+08 5.21769e+08 0 1
065 1 0 5.30797e+08 5.31055e+08 5.32074e+08 5.32085e+08 0 1
066 5 1 5.37796e+08 5.38054e+08 5.39074e+08 5.39144e+08 0 1
067 4 1 5.41685e+08 5.41947e+08 5.42966e+08 5.43038e+08 0 99
068 1 0 5.45944e+08 5.46201e+08 5.47221e+08 5.47331e+08 0 1
069 2 0 5.57516e+08 5.5778e+08 5.588e+08 5.6352e+08 0 99
070 5 1 5.7243e+08 5.72687e+08 5.73707e+08 5.73731e+08 0 1
071 4 1 5.76345e+08 5.76613e+08 5.77633e+08 5.77642e+08 0 99
072 1 0 5.80131e+08 5.80386e+08 5.81405e+08 5.8161e+08 0 1
073 1 0 5.84378e+08 5.84635e+08 5.85655e+08 5.93294e+08 0 1
074 1 0 5.96068e+08 5.96321e+08 5.97341e+08 6.03664e+08 0 1
075 1 0 6.06571e+08 6.06821e+08 6.0784e+08 6.07965e+08 0 1
076 5 0 6.12968e+08 6.1323e+08 6.1425e+08 6.1826e+08 0 0
077 5 1 6.26389e+08 6.2664e+08 6.2766e+08 6.27859e+08 1 1
078 2 0 6.32562e+08 6.32817e+08 6.33837e+08 6.37006e+08 0 99
079 1 0 6.39574e+08 6.3983e+08 6.4085e+08 6.41202e+08 0 1
080 3 0 6.44079e+08 6.44331e+08 6.45351e+08 6.49088e+08 0 99
081 5 0 6.51636e+08 6.51886e+08 6.52906e+08 6.52917e+08 0 0
082 5 1 6.60632e+08 6.60882e+08 6.61902e+08 6.61918e+08 1 1
083 1 0 6.64966e+08 6.65211e+08 6.6623e+08 6.70255e+08 0 1
084 1 0 6.74171e+08 6.74418e+08 6.75438e+08 6.75639e+08 0 1
085 1 0 6.78376e+08 6.78623e+08 6.79642e+08 6.7969e+08 0 1
086 5 1 6.82176e+08 6.82427e+08 6.83446e+08 6.83739e+08 0 1
087 4 1 6.86717e+08 6.86963e+08 6.87982e+08 6.88076e+08 0 99
088 4 0 6.90877e+08 6.9112e+08 6.9214e+08 6.95218e+08 0 99
089 3 0 6.98063e+08 6.98313e+08 6.99332e+08 7.01567e+08 0 99
090 1 0 7.06348e+08 7.06603e+08 7.07623e+08 7.07639e+08 0 1
091 5 1 7.10519e+08 7.10782e+08 7.11802e+08 7.11934e+08 0 1
092 1 0 7.24254e+08 7.24509e+08 7.25528e+08 7.25902e+08 0 1
093 1 0 7.28488e+08 7.28738e+08 7.29758e+08 7.29926e+08 0 1
094 4 1 7.3263e+08 7.32887e+08 7.33907e+08 7.33952e+08 0 99
095 4 0 7.3659e+08 7.36856e+08 7.37876e+08 7.39792e+08 0 99
096 1 0 7.43207e+08 7.4347e+08 7.44489e+08 7.44529e+08 0 1
097 5 1 7.4715e+08 7.47414e+08 7.48433e+08 7.48469e+08 0 1
098 5 1 7.5138e+08 7.51631e+08 7.5265e+08 7.52663e+08 0 1
099 5 1 7.55614e+08 7.55866e+08 7.56886e+08 7.56899e+08 0 1
100 1 0 7.59793e+08 7.60044e+08 7.61063e+08 7.61145e+08 0 1
101 1 0 7.74891e+08 7.75152e+08 7.76171e+08 7.76471e+08 0 1
102 1 0 7.79001e+08 7.79247e+08 7.80267e+08 7.80344e+08 0 1
103 5 1 7.83422e+08 7.8368e+08 7.84699e+08 7.84706e+08 0 1
104 3 1 7.87206e+08 7.87458e+08 7.88478e+08 7.88693e+08 0 99
105 3 1 7.9297e+08 7.93213e+08 7.94233e+08 7.94304e+08 0 99
106 5 1 7.96841e+08 7.97093e+08 7.98113e+08 7.98139e+08 0 1
107 5 1 8.0064e+08 8.00897e+08 8.01917e+08 8.01927e+08 0 1
108 2 0 8.22921e+08 8.23174e+08 8.24194e+08 8.24272e+08 0 99
109 2 0 8.29211e+08 8.29469e+08 8.30489e+08 8.30652e+08 0 99
110 1 0 8.36786e+08 8.37034e+08 8.38053e+08 8.38073e+08 0 1
