trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 2 1 9.32968e+06 9.6618e+06 1.06809e+07 2.75746e+07 0 0
002 2 1 3.4858e+07 3.51288e+07 3.61479e+07 3.86088e+07 1 0
003 2 0 4.57278e+07 4.60049e+07 4.7024e+07 8.41156e+07 1 1
004 1 1 8.74588e+07 8.77322e+07 8.87513e+07 8.87746e+07 0 1
005 1 1 9.17688e+07 9.20293e+07 9.30484e+07 9.60885e+07 0 1
006 1 0 1.05143e+08 1.05406e+08 1.06425e+08 1.06482e+08 0 0
007 1 0 1.18784e+08 1.1905e+08 1.20069e+08 1.2051e+08 1 0
008 1 0 1.2793e+08 1.28179e+08 1.29199e+08 1.29678e+08 1 0
009 1 0 1.37134e+08 1.37388e+08 1.38407e+08 1.38619e+08 1 0
010 2 1 1.4591e+08 1.46161e+08 1.4718e+08 1.47808e+08 0 0
011 2 0 1.55326e+08 1.55588e+08 1.56608e+08 1.5687e+08 0 1
012 3 0 1.64443e+08 1.64707e+08 1.65726e+08 1.71569e+08 0 1
013 3 1 1.80281e+08 1.80547e+08 1.81566e+08 1.83049e+08 0 0
014 3 0 1.90654e+08 1.9091e+08 1.91929e+08 1.9224e+08 1 1
015 1 1 2.18422e+08 2.18687e+08 2.19706e+08 2.19734e+08 0 1
016 1 1 2.24162e+08 2.2442e+08 2.25439e+08 2.25503e+08 0 1
017 1 1 2.34051e+08 2.3432e+08 2.3534e+08 2.3543e+08 0 1
018 1 1 2.50494e+08 2.5077e+08 2.51789e+08 2.51863e+08 0 1
019 2 0 2.64319e+08 2.64584e+08 2.65603e+08 2.6568e+08 0 1
020 3 0 2.68349e+08 2.68605e+08 2.69624e+08 2.69753e+08 0 1
021 2 0 2.726e+08 2.72866e+08 2.73885e+08 2.73971e+08 0 1
022 2 0 2.80446e+08 2.80697e+08 2.81716e+08 2.82927e+08 0 1
023 3 0 2.91897e+08 2.92168e+08 2.93188e+08 2.93286e+08 0 1
024 2 1 2.98843e+08 2.99098e+08 3.00117e+08 3.00196e+08 0 0
025 2 0 3.07291e+08 3.07556e+08 3.08575e+08 3.08705e+08 1 1
026 1 1 3.11668e+08 3.1193e+08 3.12949e+08 3.13083e+08 0 1
027 3 0 3.22272e+08 3.2255e+08 3.23569e+08 3.23824e+08 0 1
028 3 0 3.33495e+08 3.33756e+08 3.34776e+08 3.34888e+08 0 1
029 1 1 3.38265e+08 3.3852e+08 3.39539e+08 3.39688e+08 0 1
030 1 1 3.47697e+08 3.47948e+08 3.48967e+08 3.48988e+08 0 1
031 1 1 3.54046e+08 3.54298e+08 3.55317e+08 3.55494e+08 0 1
032 2 0 3.77472e+08 3.77733e+08 3.78752e+08 3.7877e+08 0 1
033 3 0 3.81345e+08 3.81604e+08 3.82623e+08 3.83279e+08 0 1
034 1 1 3.97794e+08 3.9806e+08 3.99079e+08 3.99134e+08 0 1
035 1 1 4.01959e+08 4.0222e+08 4.03239e+08 4.03736e+08 0 1
036 3 0 4.16816e+08 4.17081e+08 4.181e+08 4.1814e+08 0 1
037 1 1 4.38584e+08 4.38834e+08 4.39854e+08 4.39869e+08 0 1
038 1 0 4.5167e+08 4.5194e+08 4.5296e+08 4.53154e+08 0 0
039 1 1 4.65406e+08 4.65661e+08 4.6668e+08 4.66708e+08 1 1
040 1 1 4.78277e+08 4.78537e+08 4.79556e+08 4.79598e+08 0 1
041 2 0 4.90001e+08 4.90271e+08 4.9129e+08 4.91728e+08 0 1
042 2 0 4.94473e+08 4.9474e+08 4.9576e+08 4.9578e+08 0 1
043 1 1 5.04296e+08 5.0456e+08 5.05579e+08 5.05621e+08 0 1
044 2 0 5.33174e+08 5.33424e+08 5.34443e+08 5.34453e+08 0 1
045 1 1 5.41941e+08 5.42217e+08 5.43236e+08 5.435e+08 0 1
046 2 1 5.47643e+08 5.47895e+08 5.48914e+08 5.49107e+08 0 0
047 2 1 5.57617e+08 5.57873e+08 5.58892e+08 5.58953e+08 1 0
048 2 0 5.66084e+08 5.66338e+08 5.67357e+08 5.6737e+08 1 1
049 3 0 5.75823e+08 5.76087e+08 5.77106e+08 5.77157e+08 0 1
050 1 1 5.80093e+08 5.80345e+08 5.81364e+08 5.81404e+08 0 1
051 2 0 5.87662e+08 5.87919e+08 5.88938e+08 5.88946e+08 0 1
052 2 0 5.9255e+08 5.92812e+08 5.93832e+08 5.93844e+08 0 1
053 1 1 5.96622e+08 5.96882e+08 5.97901e+08 5.98071e+08 0 1
054 2 0 6.04503e+08 6.04766e+08 6.05785e+08 6.05877e+08 0 1
055 1 1 6.11427e+08 6.11691e+08 6.1271e+08 6.12823e+08 0 1
056 3 0 6.21256e+08 6.21518e+08 6.22537e+08 6.22568e+08 0 1
057 1 1 6.29268e+08 6.29531e+08 6.3055e+08 6.30729e+08 0 1
058 1 1 6.37978e+08 6.38236e+08 6.39255e+08 6.3927e+08 0 1
059 2 0 6.48983e+08 6.49248e+08 6.50267e+08 6.50385e+08 0 1
060 2 0 6.61091e+08 6.61347e+08 6.62366e+08 6.62402e+08 0 1
061 2 1 6.70902e+08 6.71161e+08 6.7218e+08 6.72437e+08 0 0
062 2 0 6.80843e+08 6.81117e+08 6.82136e+08 6.82212e+08 1 1
063 3 1 6.84849e+08 6.85104e+08 6.86123e+08 6.86307e+08 0 0
064 3 1 6.9336e+08 6.9361e+08 6.94629e+08 6.94647e+08 1 0
065 3 0 7.02532e+08 7.02792e+08 7.03811e+08 7.04834e+08 1 1
066 3 1 7.07763e+08 7.08033e+08 7.09052e+08 7.18071e+08 0 0
067 3 0 7.28483e+08 7.28738e+08 7.29757e+08 7.30285e+08 1 1
068 1 1 7.34595e+08 7.34853e+08 7.35872e+08 7.35914e+08 0 1
069 1 1 7.38637e+08 7.38901e+08 7.3992e+08 7.40072e+08 0 1
070 2 0 7.4958e+08 7.49838e+08 7.50857e+08 7.50881e+08 0 1
071 1 1 7.62037e+08 7.62298e+08 7.63318e+08 7.63413e+08 0 1
072 3 1 7.7227e+08 7.72532e+08 7.73551e+08 7.73729e+08 0 0
073 3 0 7.80889e+08 7.81159e+08 7.82178e+08 7.82277e+08 1 1
074 1 1 7.91899e+08 7.92152e+08 7.93171e+08 7.93212e+08 0 1
075 2 1 8.01331e+08 8.01589e+08 8.02608e+08 8.02722e+08 0 0
076 2 0 8.13915e+08 8.14166e+08 8.15185e+08 8.15251e+08 1 1
077 3 0 8.18353e+08 8.18618e+08 8.19637e+08 8.19734e+08 0 1
078 2 0 8.22246e+08 8.225e+08 8.23519e+08 8.24069e+08 0 1
079 1 1 8.28153e+08 8.28428e+08 8.29447e+08 8.29836e+08 0 1
080 1 1 8.32702e+08 8.3296e+08 8.33979e+08 8.34167e+08 0 1
081 3 0 8.40275e+08 8.40539e+08 8.41558e+08 8.41603e+08 0 1
082 1 1 8.54145e+08 8.54405e+08 8.55424e+08 8.55523e+08 0 1
083 1 1 8.65493e+08 8.65748e+08 8.66767e+08 8.66783e+08 0 1
084 1 1 8.70278e+08 8.70533e+08 8.71552e+08 8.71637e+08 0 1
085 1 1 8.74854e+08 8.75113e+08 8.76132e+08 8.76205e+08 0 1
086 1 1 8.86983e+08 8.87231e+08 8.8825e+08 8.88275e+08 0 1
087 3 1 8.97071e+08 8.97331e+08 8.98351e+08 8.9844e+08 0 0
088 3 1 9.05889e+08 9.06147e+08 9.07166e+08 9.1008e+08 1 0
089 3 0 9.18662e+08 9.18918e+08 9.19937e+08 9.1997e+08 1 1
090 1 1 9.26588e+08 9.26854e+08 9.27873e+08 9.28225e+08 0 1
091 1 0 9.30917e+08 9.3118e+08 9.322e+08 9.32298e+08 0 0
092 1 1 9.39444e+08 9.39697e+08 9.40716e+08 9.40853e+08 1 1
