trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 2 0 9.41876e+06 9.7419e+06 1.0762e+07 4.38875e+07 0 0
002 2 0 6.5281e+07 6.55518e+07 6.65718e+07 6.72937e+07 1 0
003 2 0 7.62614e+07 7.65532e+07 7.75732e+07 7.77094e+07 1 0
004 2 0 8.48958e+07 8.51576e+07 8.61777e+07 8.65078e+07 1 0
005 1 0 9.40155e+07 9.42693e+07 9.52894e+07 9.53007e+07 0 1
006 2 0 1.00402e+08 1.00657e+08 1.01677e+08 1.01688e+08 0 0
007 2 1 1.31034e+08 1.31296e+08 1.32316e+08 1.32943e+08 1 1
008 2 1 1.43701e+08 1.43945e+08 1.44965e+08 1.45027e+08 0 1
009 1 0 1.58147e+08 1.58411e+08 1.59432e+08 1.5957e+08 0 1
010 2 0 1.62466e+08 1.62724e+08 1.63744e+08 1.63795e+08 0 0
011 2 0 1.83607e+08 1.83875e+08 1.84895e+08 1.84913e+08 1 0
012 2 0 1.92744e+08 1.92998e+08 1.94018e+08 1.94082e+08 1 0
013 2 0 2.02626e+08 2.02872e+08 2.03892e+08 2.03968e+08 1 0
014 1 0 2.24617e+08 2.24872e+08 2.25892e+08 2.25898e+08 0 1
015 1 0 2.35542e+08 2.35802e+08 2.36822e+08 2.36835e+08 0 1
016 2 0 2.45694e+08 2.45946e+08 2.46966e+08 2.47014e+08 0 0
017 2 1 2.56058e+08 2.56313e+08 2.57333e+08 2.57503e+08 1 1
018 1 0 2.62986e+08 2.63258e+08 2.64279e+08 2.64335e+08 0 1
019 1 0 2.7346e+08 2.73727e+08 2.74747e+08 2.74784e+08 0 1
020 2 0 2.82207e+08 2.82468e+08 2.83489e+08 2.83521e+08 0 0
021 2 0 2.91571e+08 2.9183e+08 2.9285e+08 2.92867e+08 1 0
022 2 0 3.00069e+08 3.0033e+08 3.0135e+08 3.01363e+08 1 0
023 2 1 3.10042e+08 3.1029e+08 3.1131e+08 3.11527e+08 1 1
024 2 0 3.17696e+08 3.17952e+08 3.18973e+08 3.1919e+08 0 0
025 2 1 3.27952e+08 3.28214e+08 3.29234e+08 3.29343e+08 1 1
026 1 0 3.41035e+08 3.41289e+08 3.42309e+08 3.42414e+08 0 1
027 1 0 3.63319e+08 3.63582e+08 3.64602e+08 3.64606e+08 0 1
028 2 0 3.79943e+08 3.80189e+08 3.81209e+08 3.8126e+08 0 0
029 2 0 3.91001e+08 3.91259e+08 3.92279e+08 3.92637e+08 1 0
030 2 1 4.068e+08 4.07059e+08 4.08079e+08 4.08121e+08 1 1
031 2 0 4.21061e+08 4.21318e+08 4.22338e+08 4.22442e+08 0 0
032 2 0 4.35985e+08 4.36233e+08 4.37253e+08 4.37282e+08 1 0
033 2 1 4.45658e+08 4.45915e+08 4.46935e+08 4.47156e+08 1 1
034 1 0 4.53702e+08 4.53958e+08 4.54978e+08 4.55032e+08 0 1
035 1 0 4.6974e+08 4.70001e+08 4.71021e+08 4.71075e+08 0 1
036 2 0 4.94427e+08 4.94692e+08 4.95712e+08 4.95743e+08 0 0
037 2 0 5.04011e+08 5.0427e+08 5.0529e+08 5.05303e+08 1 0
038 2 1 5.12492e+08 5.12748e+08 5.13768e+08 5.13823e+08 1 1
039 2 0 5.32745e+08 5.32998e+08 5.34018e+08 5.34084e+08 0 0
040 2 0 5.44214e+08 5.44459e+08 5.45479e+08 5.46138e+08 1 0
041 2 0 5.53634e+08 5.53885e+08 5.54905e+08 5.55007e+08 1 0
042 2 1 5.64099e+08 5.64361e+08 5.65381e+08 5.67588e+08 1 1
043 2 1 5.85261e+08 5.85528e+08 5.86548e+08 5.86565e+08 0 1
