trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 1 0 3.26145e+06 3.52335e+06 4.54346e+06 4.54557e+06 0
001 002 1 1 1.25584e+07 1.28301e+07 1.38502e+07 1.60516e+07 0
000 003 1 0 2.3168e+07 2.34215e+07 2.44416e+07 2.60736e+07 1
001 004 2 0 2.87867e+07 2.90562e+07 3.00763e+07 3.19483e+07 0
000 005 2 0 3.94209e+07 3.96882e+07 4.07083e+07 8.04938e+07 1
000 006 2 0 8.77916e+07 8.80632e+07 8.90833e+07 9.05734e+07 1
000 007 2 0 9.76661e+07 9.7922e+07 9.89421e+07 1.07534e+08 1
000 008 2 0 1.14985e+08 1.15254e+08 1.16274e+08 1.30898e+08 0
000 009 1 0 1.39192e+08 1.39446e+08 1.40467e+08 1.41442e+08 0
001 010 1 0 1.44187e+08 1.44439e+08 1.45459e+08 1.56696e+08 0
001 011 2 0 1.59669e+08 1.59927e+08 1.60948e+08 1.68968e+08 0
000 012 2 0 1.77519e+08 1.77788e+08 1.78808e+08 2.00196e+08 1
000 013 2 0 2.08422e+08 2.08679e+08 2.09699e+08 2.14571e+08 1
000 014 2 0 2.23116e+08 2.2338e+08 2.244e+08 2.25141e+08 1
000 015 1 0 2.38432e+08 2.38697e+08 2.39717e+08 2.41266e+08 0
001 016 1 1 2.4704e+08 2.47301e+08 2.48321e+08 2.56377e+08 0
000 017 1 0 2.63745e+08 2.6401e+08 2.6503e+08 2.72339e+08 1
001 018 2 0 2.77537e+08 2.77793e+08 2.78814e+08 2.8014e+08 0
000 019 2 0 2.89884e+08 2.90145e+08 2.91165e+08 2.94574e+08 1
000 020 2 0 3.01729e+08 3.01988e+08 3.03008e+08 3.08463e+08 1
000 021 2 0 3.20373e+08 3.20639e+08 3.21659e+08 3.24752e+08 1
000 022 1 0 3.34413e+08 3.34683e+08 3.35703e+08 3.55212e+08 0
001 023 2 0 3.58052e+08 3.5832e+08 3.5934e+08 3.60111e+08 0
000 024 2 0 3.67297e+08 3.67561e+08 3.68582e+08 3.89408e+08 1
000 025 2 0 3.96502e+08 3.96763e+08 3.97783e+08 4.1583e+08 1
000 026 2 0 4.233e+08 4.23568e+08 4.24589e+08 4.25184e+08 1
000 027 1 0 4.32352e+08 4.32622e+08 4.33642e+08 4.33644e+08 0
001 028 2 0 4.40166e+08 4.40435e+08 4.41456e+08 4.43707e+08 0
000 029 2 0 4.51057e+08 4.51322e+08 4.52342e+08 5.12704e+08 1
000 030 2 0 5.20079e+08 5.20338e+08 5.21358e+08 5.36822e+08 1
000 031 2 0 5.4396e+08 5.44218e+08 5.45238e+08 5.53891e+08 1
000 032 1 0 5.61306e+08 5.61574e+08 5.62594e+08 5.8384e+08 0
001 033 1 0 5.8986e+08 5.90123e+08 5.91143e+08 5.94518e+08 0
001 034 2 0 5.99946e+08 6.00206e+08 6.01226e+08 6.01236e+08 0
000 035 2 0 6.08589e+08 6.08859e+08 6.09879e+08 6.33786e+08 1
000 036 2 0 6.40964e+08 6.41228e+08 6.42248e+08 6.53372e+08 1
000 037 2 0 6.60879e+08 6.61137e+08 6.62157e+08 6.8836e+08 1
000 038 2 0 6.95579e+08 6.95836e+08 6.96856e+08 7.03968e+08 0
000 039 2 0 7.11121e+08 7.11397e+08 7.12417e+08 7.75472e+08 0
000 040 1 0 7.82859e+08 7.83135e+08 7.84155e+08 7.88815e+08 0
001 041 2 0 7.92754e+08 7.9303e+08 7.9405e+08 1.02181e+09 0
000 042 2 0 1.03484e+09 1.0351e+09 1.03612e+09 1.03613e+09 1
000 043 2 0 1.04355e+09 1.04383e+09 1.04485e+09 1.049e+09 1
000 044 2 0 1.05638e+09 1.05665e+09 1.05767e+09 1.0789e+09 1
000 045 2 0 1.08646e+09 1.08673e+09 1.08775e+09 1.10188e+09 0
000 046 2 0 1.11092e+09 1.1112e+09 1.11222e+09 1.12505e+09 0
000 047 2 0 1.13236e+09 1.13262e+09 1.13364e+09 1.27613e+09 0
000 048 2 1 1.2833e+09 1.28356e+09 1.28458e+09 1.42661e+09 0
001 049 2 1 1.42985e+09 1.43012e+09 1.43114e+09 1.43607e+09 0
001 050 1 0 1.439e+09 1.43926e+09 1.44028e+09 1.4444e+09 0
001 051 1 0 1.44696e+09 1.44722e+09 1.44824e+09 1.51719e+09 0
001 052 2 0 1.52013e+09 1.52039e+09 1.52141e+09 1.52233e+09 0
000 053 2 0 1.52958e+09 1.52983e+09 1.53085e+09 1.5318e+09 1
000 054 2 0 1.54626e+09 1.54651e+09 1.54753e+09 1.55243e+09 1
000 055 2 0 1.55962e+09 1.55988e+09 1.5609e+09 1.78338e+09 1
000 056 1 0 1.79094e+09 1.7912e+09 1.79222e+09 2.14748e+09 0
001 057 1 0 2.15049e+09 2.15074e+09 2.15176e+09 2.3038e+09 0
001 058 1 0 2.30656e+09 2.30682e+09 2.30784e+09 2.30865e+09 0
001 059 1 0 2.31125e+09 2.3115e+09 2.31252e+09 2.31458e+09 0
001 060 1 0 2.31756e+09 2.31783e+09 2.31885e+09 2.32163e+09 0
001 061 2 0 2.32444e+09 2.3247e+09 2.32572e+09 2.32671e+09 0
000 062 2 0 2.33419e+09 2.33445e+09 2.33547e+09 2.34009e+09 1
000 063 2 1 2.34718e+09 2.34744e+09 2.34846e+09 2.34848e+09 1
001 064 1 0 2.3524e+09 2.35266e+09 2.35368e+09 2.3542e+09 0
001 065 1 0 2.35708e+09 2.35735e+09 2.35837e+09 2.35863e+09 0
001 066 1 0 2.36451e+09 2.36477e+09 2.36579e+09 2.37137e+09 0
001 067 1 1 2.3765e+09 2.37677e+09 2.37779e+09 2.37862e+09 0
000 068 1 0 2.38746e+09 2.38772e+09 2.38874e+09 2.44331e+09 1
001 069 1 0 2.44762e+09 2.44788e+09 2.4489e+09 2.53362e+09 0
001 070 1 0 2.53677e+09 2.53704e+09 2.53806e+09 3.09442e+09 0
001 071 2 0 3.09841e+09 3.09868e+09 3.0997e+09 3.20548e+09 0
000 072 2 0 3.21301e+09 3.21328e+09 3.2143e+09 3.21483e+09 1
000 073 2 0 3.22464e+09 3.22489e+09 3.22591e+09 3.22823e+09 1
000 074 2 0 3.23528e+09 3.23554e+09 3.23656e+09 3.23664e+09 1
000 075 2 0 3.25057e+09 3.25083e+09 3.25185e+09 3.25321e+09 0
000 076 1 1 3.2606e+09 3.26087e+09 3.26189e+09 3.26199e+09 0
000 077 1 1 3.27007e+09 3.27034e+09 3.27136e+09 3.27182e+09 0
000 078 2 1 3.28033e+09 3.28059e+09 3.28161e+09 3.29284e+09 0
001 079 2 1 3.29893e+09 3.29919e+09 3.30021e+09 3.30163e+09 0
001 080 1 0 3.30439e+09 3.30466e+09 3.30568e+09 3.31949e+09 0
001 081 1 0 3.3246e+09 3.32487e+09 3.32589e+09 3.32669e+09 0
001 082 1 0 3.32947e+09 3.32973e+09 3.33075e+09 3.33076e+09 0
001 083 1 1 3.3336e+09 3.33388e+09 3.3349e+09 3.33714e+09 0
000 084 1 0 3.34417e+09 3.34444e+09 3.34546e+09 3.34605e+09 1
001 085 2 1 3.34863e+09 3.3489e+09 3.34992e+09 3.35455e+09 0
001 086 2 1 3.36155e+09 3.36181e+09 3.36283e+09 3.36551e+09 0
001 087 1 0 3.36878e+09 3.36905e+09 3.37007e+09 3.37088e+09 0
001 088 2 0 3.37678e+09 3.37704e+09 3.37806e+09 3.37839e+09 0
000 089 2 1 3.3876e+09 3.38787e+09 3.38889e+09 3.39094e+09 1
001 090 2 1 3.39481e+09 3.39507e+09 3.39609e+09 3.39853e+09 0
001 091 2 1 3.4013e+09 3.40158e+09 3.4026e+09 3.40665e+09 0
001 092 1 0 3.41025e+09 3.41052e+09 3.41154e+09 3.41204e+09 0
001 093 1 0 3.41463e+09 3.41488e+09 3.4159e+09 3.41647e+09 0
001 094 2 1 3.41941e+09 3.41967e+09 3.42069e+09 3.42437e+09 0
001 095 2 1 3.42709e+09 3.42735e+09 3.42837e+09 3.43117e+09 0
001 096 1 0 3.4338e+09 3.43406e+09 3.43508e+09 3.43548e+09 0
001 097 1 0 3.43941e+09 3.43967e+09 3.44069e+09 3.44115e+09 0
001 098 1 0 3.44569e+09 3.44595e+09 3.44697e+09 3.44746e+09 0
001 099 2 1 3.4523e+09 3.45257e+09 3.45359e+09 3.45369e+09 0
001 100 1 0 3.46036e+09 3.46063e+09 3.46165e+09 3.46341e+09 0
001 101 2 0 3.47269e+09 3.47296e+09 3.47398e+09 3.47508e+09 0
000 102 2 1 3.48251e+09 3.48278e+09 3.4838e+09 3.55019e+09 1
001 103 2 0 3.55382e+09 3.55408e+09 3.5551e+09 3.6532e+09 0
000 104 2 0 3.66404e+09 3.6643e+09 3.66532e+09 3.8133e+09 1
000 105 2 0 3.82048e+09 3.82073e+09 3.82175e+09 3.82438e+09 1
000 106 2 0 3.83177e+09 3.83204e+09 3.83306e+09 3.83885e+09 1
000 107 1 0 3.84809e+09 3.84834e+09 3.84936e+09 3.91987e+09 0
001 108 2 1 3.92283e+09 3.9231e+09 3.92412e+09 4.05589e+09 0
001 109 2 0 4.05886e+09 4.05913e+09 4.06015e+09 4.06025e+09 0
000 110 2 1 4.06769e+09 4.06796e+09 4.06898e+09 4.1055e+09 1
001 111 2 0 4.10818e+09 4.10845e+09 4.10947e+09 3.16404e+07 0
000 112 2 0 3.88956e+07 3.91602e+07 4.01803e+07 8.44018e+07 1
000 113 2 1 9.59355e+07 9.62065e+07 9.72266e+07 9.73242e+07 1
001 114 1 0 1.02146e+08 1.02416e+08 1.03436e+08 1.05372e+08 0
001 115 2 0 1.08235e+08 1.08492e+08 1.09512e+08 1.09521e+08 0
000 116 2 1 1.25879e+08 1.26142e+08 1.27162e+08 1.30187e+08 1
001 117 1 0 1.32908e+08 1.33178e+08 1.34199e+08 2.86571e+08 0
001 118 1 0 2.89539e+08 2.89804e+08 2.90824e+08 3.10668e+08 0
001 119 2 0 3.14347e+08 3.14614e+08 3.15634e+08 3.21168e+08 0
000 120 2 0 3.28602e+08 3.28879e+08 3.29899e+08 3.54662e+08 1
000 121 2 0 3.61949e+08 3.62218e+08 3.63238e+08 3.76105e+08 1
000 122 2 0 3.83201e+08 3.83461e+08 3.84481e+08 3.84536e+08 1
000 123 1 0 3.97347e+08 3.97617e+08 3.98637e+08 4.16423e+08 0
001 124 2 0 4.20666e+08 4.20926e+08 4.21946e+08 6.1864e+08 0
000 125 2 0 6.26059e+08 6.26332e+08 6.27352e+08 6.83798e+08 1
000 126 2 0 6.9131e+08 6.9158e+08 6.92601e+08 7.9912e+08 1
000 127 2 0 8.10121e+08 8.10375e+08 8.11395e+08 8.14548e+08 1
000 128 1 0 8.24373e+08 8.24637e+08 8.25657e+08 8.34603e+08 0
001 129 2 1 8.3884e+08 8.39111e+08 8.40131e+08 8.93621e+08 0
001 130 2 1 8.96554e+08 8.96824e+08 8.97844e+08 1.08894e+09 0
001 
