trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 5 1 1.4294e+07 1.46108e+07 1.56309e+07 1.56962e+07 0 1
002 3 0 1.92911e+07 1.95747e+07 2.05948e+07 2.06054e+07 0 99
003 5 0 4.9321e+07 4.96002e+07 5.06203e+07 5.06588e+07 0 0
004 5 1 5.9862e+07 6.01209e+07 6.11409e+07 6.11511e+07 1 1
005 5 1 8.27853e+07 8.30323e+07 8.40523e+07 8.41022e+07 0 1
006 1 0 8.9131e+07 8.93823e+07 9.04023e+07 9.04075e+07 0 1
007 1 0 9.67537e+07 9.7002e+07 9.80221e+07 9.8048e+07 0 1
008 5 1 1.02604e+08 1.02864e+08 1.03884e+08 1.04066e+08 0 1
009 1 0 1.32126e+08 1.32377e+08 1.33397e+08 1.33407e+08 0 1
010 1 0 1.41745e+08 1.42004e+08 1.43024e+08 1.43103e+08 0 1
011 4 1 1.4925e+08 1.49507e+08 1.50527e+08 1.50594e+08 0 99
012 2 0 1.54453e+08 1.54714e+08 1.55734e+08 1.55739e+08 0 99
013 1 0 1.58836e+08 1.59092e+08 1.60112e+08 1.60291e+08 0 1
014 5 1 1.64368e+08 1.64626e+08 1.65646e+08 1.66137e+08 0 1
015 1 0 1.72263e+08 1.72522e+08 1.73542e+08 1.73572e+08 0 1
016 5 1 1.82771e+08 1.83033e+08 1.84053e+08 1.84136e+08 0 1
017 5 1 1.91027e+08 1.91287e+08 1.92307e+08 1.92394e+08 0 1
018 1 0 2.00781e+08 2.01046e+08 2.02066e+08 2.02074e+08 0 1
019 3 0 2.18326e+08 2.18593e+08 2.19613e+08 2.19783e+08 0 99
020 1 0 2.27425e+08 2.27674e+08 2.28694e+08 2.28704e+08 0 1
021 3 1 2.313e+08 2.31564e+08 2.32584e+08 2.32605e+08 0 99
022 1 0 2.45809e+08 2.46064e+08 2.47084e+08 2.47096e+08 0 1
023 1 0 2.65755e+08 2.66017e+08 2.67037e+08 2.67046e+08 0 1
024 1 0 2.77992e+08 2.78251e+08 2.79271e+08 2.79371e+08 0 1
025 5 0 2.83547e+08 2.83816e+08 2.84836e+08 2.84873e+08 0 0
026 5 0 2.96175e+08 2.96433e+08 2.97453e+08 2.99485e+08 1 0
027 5 1 3.10353e+08 3.10603e+08 3.11623e+08 3.12338e+08 1 1
028 5 0 3.20384e+08 3.20646e+08 3.21666e+08 3.23905e+08 0 0
029 5 1 3.31213e+08 3.31468e+08 3.32488e+08 3.32498e+08 1 1
030 2 0 3.35462e+08 3.35724e+08 3.36744e+08 3.3675e+08 0 99
031 1 0 3.78812e+08 3.79069e+08 3.80089e+08 3.80094e+08 0 1
032 5 0 3.83452e+08 3.83721e+08 3.84741e+08 3.84805e+08 0 0
033 5 1 3.97611e+08 3.97873e+08 3.98894e+08 3.98944e+08 1 1
034 5 1 4.28645e+08 4.28919e+08 4.29939e+08 4.32889e+08 0 1
035 5 0 4.55769e+08 4.56024e+08 4.57044e+08 4.57503e+08 0 0
036 5 0 4.64713e+08 4.64967e+08 4.65987e+08 4.66012e+08 1 0
037 5 0 4.78491e+08 4.78753e+08 4.79773e+08 4.79818e+08 1 0
038 5 1 4.87429e+08 4.87689e+08 4.88709e+08 4.88737e+08 1 1
039 5 0 5.1223e+08 5.12481e+08 5.13501e+08 5.13511e+08 0 0
040 5 0 5.22239e+08 5.22498e+08 5.23518e+08 5.2356e+08 1 0
041 5 0 5.33765e+08 5.34026e+08 5.35046e+08 5.35224e+08 1 0
042 5 1 5.44302e+08 5.44554e+08 5.45574e+08 5.4635e+08 1 1
