trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 1 1 6.70619e+06 7.0226e+06 8.04176e+06 8.40826e+06 0 1
002 1 1 1.24836e+07 1.27509e+07 1.37701e+07 1.41421e+07 0 1
003 2 0 1.68172e+07 1.71028e+07 1.8122e+07 1.87132e+07 0 1
004 2 0 2.14631e+07 2.17173e+07 2.27365e+07 2.28722e+07 0 1
005 1 1 2.58611e+07 2.61287e+07 2.71479e+07 2.71703e+07 0 1
006 2 0 2.99848e+07 3.02368e+07 3.1256e+07 3.20253e+07 0 1
007 1 1 3.46255e+07 3.48973e+07 3.59164e+07 3.59485e+07 0 1
008 2 0 3.88567e+07 3.91216e+07 4.01408e+07 4.06422e+07 0 1
009 2 0 4.35989e+07 4.3864e+07 4.48832e+07 4.53993e+07 0 1
010 2 0 4.81393e+07 4.83981e+07 4.94172e+07 4.97813e+07 0 1
011 2 0 5.36167e+07 5.38876e+07 5.49067e+07 5.50624e+07 0 1
012 2 0 5.86117e+07 5.88702e+07 5.98894e+07 6.10238e+07 0 1
013 2 0 6.4041e+07 6.43061e+07 6.53252e+07 6.5803e+07 0 1
014 2 0 6.83827e+07 6.86486e+07 6.96677e+07 7.02291e+07 0 1
015 2 0 7.3258e+07 7.35171e+07 7.45362e+07 7.50105e+07 0 1
016 1 1 7.75537e+07 7.78113e+07 7.88305e+07 7.91077e+07 0 1
017 2 0 8.19528e+07 8.22171e+07 8.32362e+07 8.38229e+07 0 1
018 1 1 8.65854e+07 8.68341e+07 8.78533e+07 8.89332e+07 0 1
019 1 1 9.18129e+07 9.20705e+07 9.30897e+07 9.33223e+07 0 1
020 1 1 9.59754e+07 9.62543e+07 9.72735e+07 9.74659e+07 0 1
021 2 0 1.00314e+08 1.00583e+08 1.01602e+08 1.02113e+08 0 1
022 2 0 1.04808e+08 1.05082e+08 1.06102e+08 1.06293e+08 0 1
023 1 1 1.0904e+08 1.09294e+08 1.10314e+08 1.10327e+08 0 1
024 1 1 1.13049e+08 1.1331e+08 1.14329e+08 1.14355e+08 0 1
025 1 1 1.16955e+08 1.17221e+08 1.1824e+08 1.18262e+08 0 1
026 2 0 1.2124e+08 1.21502e+08 1.22521e+08 1.23086e+08 0 1
027 2 0 1.25719e+08 1.25986e+08 1.27006e+08 1.27488e+08 0 1
028 1 0 1.30306e+08 1.30574e+08 1.31594e+08 1.31855e+08 0 0
029 1 1 1.3921e+08 1.39462e+08 1.40481e+08 1.40736e+08 1 1
030 1 1 1.43606e+08 1.43883e+08 1.44903e+08 1.45134e+08 0 1
031 1 1 1.47774e+08 1.48029e+08 1.49049e+08 1.49088e+08 0 1
032 1 1 1.51951e+08 1.52225e+08 1.53245e+08 1.53281e+08 0 1
033 1 1 1.55891e+08 1.56165e+08 1.57185e+08 1.57196e+08 0 1
034 2 0 1.59944e+08 1.60205e+08 1.61224e+08 1.61639e+08 0 1
035 2 1 1.64438e+08 1.64696e+08 1.65715e+08 1.67967e+08 0 0
