trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 2 1 6.62836e+06 6.95172e+06 7.97201e+06 2.83093e+08 0
001 002 1 0 2.85753e+08 2.86042e+08 2.87062e+08 8.25742e+08 0
001 003 2 1 8.2894e+08 8.29205e+08 8.30225e+08 8.31094e+08 0
001 004 1 0 8.335e+08 8.33787e+08 8.34807e+08 8.35044e+08 0
001 005 1 1 8.47292e+08 8.47571e+08 8.48591e+08 8.48601e+08 0
000 006 1 1 8.6296e+08 8.63215e+08 8.64235e+08 8.64299e+08 1
000 007 1 1 8.7875e+08 8.79002e+08 8.80022e+08 8.83853e+08 1
000 008 1 1 9.0195e+08 9.02201e+08 9.03221e+08 9.04882e+08 1
000 009 1 0 9.14479e+08 9.14728e+08 9.15748e+08 9.16188e+08 0
001 010 1 1 9.18905e+08 9.19163e+08 9.20184e+08 9.20254e+08 0
000 011 1 0 9.50158e+08 9.50411e+08 9.51431e+08 9.51451e+08 1
001 012 1 0 9.5906e+08 9.59312e+08 9.60332e+08 9.62835e+08 0
001 013 2 1 9.7078e+08 9.71039e+08 9.72059e+08 9.72363e+08 0
001 014 2 0 9.80015e+08 9.80273e+08 9.81294e+08 9.81301e+08 0
000 015 2 1 9.91883e+08 9.9214e+08 9.93161e+08 1.00516e+09 1
001 016 2 1 1.00739e+09 1.00765e+09 1.00867e+09 1.0108e+09 0
001 017 1 0 1.02182e+09 1.02208e+09 1.0231e+09 1.03264e+09 0
001 018 2 1 1.03859e+09 1.03885e+09 1.03987e+09 1.04678e+09 0
001 019 1 0 1.05009e+09 1.05035e+09 1.05137e+09 1.05181e+09 0
001 020 1 1 1.0545e+09 1.05476e+09 1.05578e+09 1.05729e+09 0
000 021 1 1 1.07061e+09 1.07086e+09 1.07189e+09 1.0719e+09 1
000 022 1 1 1.08085e+09 1.08109e+09 1.08211e+09 1.0835e+09 1
000 023 1 0 1.09076e+09 1.09101e+09 1.09203e+09 1.09225e+09 1
001 024 1 0 1.10625e+09 1.10651e+09 1.10753e+09 1.10754e+09 0
001 025 2 1 1.1149e+09 1.11516e+09 1.11618e+09 1.11655e+09 0
001 026 1 1 1.1207e+09 1.12095e+09 1.12197e+09 1.12198e+09 0
000 027 1 1 1.13541e+09 1.13566e+09 1.13668e+09 1.13708e+09 1
