trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 2 1 3.46421e+06 3.50762e+06 4.52844e+06 7.7636e+06 0 0
002 2 0 1.61045e+07 1.61458e+07 1.71666e+07 2.04255e+07 1 1
003 1 1 2.26437e+07 2.26764e+07 2.36972e+07 2.41239e+07 0 1
004 2 0 2.64233e+07 2.64648e+07 2.74856e+07 2.93853e+07 0 1
005 1 0 3.1955e+07 3.20026e+07 3.30234e+07 3.33517e+07 0 0
006 1 0 4.06467e+07 4.06909e+07 4.17118e+07 4.20563e+07 1 0
007 1 0 4.91223e+07 4.91564e+07 5.01773e+07 5.03734e+07 1 0
008 1 0 5.77802e+07 5.78168e+07 5.88376e+07 5.92429e+07 1 0
009 1 0 6.67955e+07 6.68374e+07 6.78582e+07 6.81154e+07 0 0
010 2 0 7.54258e+07 7.54643e+07 7.64852e+07 7.71265e+07 0 1
011 1 0 7.9701e+07 7.97398e+07 8.07606e+07 8.34509e+07 0 0
012 1 1 9.06404e+07 9.06726e+07 9.16934e+07 9.18137e+07 1 1
013 2 0 9.44589e+07 9.44984e+07 9.55192e+07 1.01919e+08 0 1
014 2 0 1.04094e+08 1.04127e+08 1.05148e+08 1.10606e+08 0 1
015 2 0 1.13232e+08 1.13274e+08 1.14294e+08 1.17348e+08 0 1
016 2 0 1.19494e+08 1.19533e+08 1.20554e+08 1.22156e+08 0 1
017 2 1 1.24625e+08 1.24669e+08 1.2569e+08 1.28524e+08 0 0
